Version, File Name, LOC, NAuth, NFix, Revisions, LOCAdded, MaxLOCAdded, averageLOCAdded, Churn, MaxChurn, AverageChurn, Age, Buggy
0, hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java, 28, 1, 0, 1, 41546, 1252, 147.85054, 41546, 1252, 147.85054, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java, 78, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java, 6368, 2, 0, 2, 15617, 6095, 9.41918, 17402, 6095, 10.495778, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java, 705, 3, 0, 3, 51545, 1734, 23.87448, 53097, 1732, 24.59333, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java, 106, 3, 0, 3, 51545, 1734, 23.87448, 53097, 1732, 24.59333, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java, 472, 9, 0, 9, 14747, 1734, 6.5108166, 16259, 1732, 7.1783667, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java, 217, 4, 0, 4, 1444, 377, 6.144681, 1305, 377, 5.5531917, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java, 82, 4, 0, 4, 12671, 1734, 6.2665677, 14326, 1732, 7.0850644, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java, 49, 2, 0, 2, 41786, 1252, 109.387436, 41673, 1252, 109.09162, 0, false
0, hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java, 163, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java, 93, 3, 0, 3, 10513, 1734, 5.834073, 12203, 1732, 6.77192, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java, 48, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java, 145, 1, 0, 1, 2534, 514, 18.910448, 2646, 514, 19.74627, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java, 166, 4, 0, 4, 10999, 1734, 5.4075713, 12455, 1732, 6.123402, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java, 40, 1, 0, 1, 41546, 1252, 147.85054, 41546, 1252, 147.85054, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java, 158, 8, 0, 8, 15184, 1734, 6.3030305, 16624, 1732, 6.900789, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java, 124, 4, 0, 4, 51785, 1734, 22.913717, 53224, 1732, 23.550442, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java, 428, 3, 0, 3, 51545, 1734, 23.87448, 53097, 1732, 24.59333, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java, 534, 8, 0, 8, 12818, 1734, 5.5998254, 14165, 1732, 6.188292, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java, 84, 3, 0, 3, 51545, 1734, 23.87448, 53097, 1732, 24.59333, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java, 150, 5, 0, 5, 12392, 1734, 5.5569506, 13748, 1732, 6.1650224, 0, true
0, hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java, 154, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java, 39, 2, 0, 2, 9651, 1734, 5.8278985, 11428, 1732, 6.900966, 0, true
